timestamp,Time ,Garbage,value
2018-01-04 2:00,2018-01-04 02:00:00 PST,86.7kW,86.7
2018-01-04 2:15,2018-01-04 02:15:00 PST,86.9kW,86.9
2018-01-04 2:30,2018-01-04 02:30:00 PST,85.6kW,85.6
2018-01-04 2:45,2018-01-04 02:45:00 PST,84.4kW,84.4
2018-01-04 3:00,2018-01-04 03:00:00 PST,79.9kW,79.9
2018-01-04 3:15,2018-01-04 03:15:00 PST,75.2kW,75.2
2018-01-04 3:30,2018-01-04 03:30:00 PST,73.9kW,73.9
2018-01-04 3:45,2018-01-04 03:45:00 PST,69.1kW,69.1
2018-01-04 4:00,2018-01-04 04:00:00 PST,92.8kW,92.8
2018-01-04 4:15,2018-01-04 04:15:00 PST,99.6kW,99.6
2018-01-04 4:30,2018-01-04 04:30:00 PST,97.7kW,97.7
2018-01-04 4:45,2018-01-04 04:45:00 PST,94.2kW,94.2
2018-01-04 5:00,2018-01-04 05:00:00 PST,91.3kW,91.3
2018-01-04 5:15,2018-01-04 05:15:00 PST,89.1kW,89.1
2018-01-04 5:30,2018-01-04 05:30:00 PST,88.5kW,88.5
2018-01-04 5:45,2018-01-04 05:45:00 PST,110.2kW,110.2
2018-01-04 6:00,2018-01-04 06:00:00 PST,125.1kW,125.1
2018-01-04 6:15,2018-01-04 06:15:00 PST,148.4kW,148.4
2018-01-04 6:30,2018-01-04 06:30:00 PST,176.2kW,176.2
2018-01-04 6:45,2018-01-04 06:45:00 PST,178.7kW,178.7
2018-01-04 7:00,2018-01-04 07:00:00 PST,183.9kW,183.9
2018-01-04 7:15,2018-01-04 07:15:00 PST,202.7kW,202.7
2018-01-04 7:30,2018-01-04 07:30:00 PST,220.4kW,220.4
2018-01-04 7:45,2018-01-04 07:45:00 PST,208.3kW,208.3
2018-01-04 8:00,2018-01-04 08:00:00 PST,200.3kW,200.3
2018-01-04 8:15,2018-01-04 08:15:00 PST,210.4kW,210.4
2018-01-04 8:30,2018-01-04 08:30:00 PST,205.3kW,205.3
2018-01-04 8:45,2018-01-04 08:45:00 PST,215.0kW,215
2018-01-04 9:00,2018-01-04 09:00:00 PST,215.1kW,215.1
2018-01-04 9:15,2018-01-04 09:15:00 PST,201.2kW,201.2
2018-01-04 9:30,2018-01-04 09:30:00 PST,215.4kW,215.4
2018-01-04 9:45,2018-01-04 09:45:00 PST,213.8kW,213.8
2018-01-04 10:00,2018-01-04 10:00:00 PST,217.7kW,217.7
2018-01-04 10:15,2018-01-04 10:15:00 PST,221.8kW,221.8
2018-01-04 10:30,2018-01-04 10:30:00 PST,210.1kW,210.1
2018-01-04 10:45,2018-01-04 10:45:00 PST,213.4kW,213.4
2018-01-04 11:00,2018-01-04 11:00:00 PST,214.7kW,214.7
2018-01-04 11:15,2018-01-04 11:15:00 PST,202.6kW,202.6
2018-01-04 11:30,2018-01-04 11:30:00 PST,191.6kW,191.6
2018-01-04 11:45,2018-01-04 11:45:00 PST,187.6kW,187.6
2018-01-04 12:00,2018-01-04 12:00:00 PST,177.2kW,177.2
2018-01-04 12:15,2018-01-04 12:15:00 PST,182.9kW,182.9
2018-01-04 12:30,2018-01-04 12:30:00 PST,204.1kW,204.1
2018-01-04 12:45,2018-01-04 12:45:00 PST,185.1kW,185.1
2018-01-04 13:00,2018-01-04 13:00:00 PST,189.5kW,189.5
2018-01-04 13:15,2018-01-04 13:15:00 PST,186.6kW,186.6
2018-01-04 13:30,2018-01-04 13:30:00 PST,174.0kW,174
2018-01-04 13:45,2018-01-04 13:45:00 PST,146.3kW,146.3
2018-01-04 14:00,2018-01-04 14:00:00 PST,166.1kW,166.1
2018-01-04 14:15,2018-01-04 14:15:00 PST,177.0kW,177
